channel_number,channel_name,broadcasting_field
209,홈초이스브이오디페이퍼뷰(Home Choice VOD PPV),movie
210,홈초이스브이오디플러스(Home Choice VOD plus),fun
211,홈초이스브이오디(Home Choice VOD),movie
212,한국실버방송,information
213,파워오토(Power Auto),information
214,소비자TV,information
215,애니맥스,animation
216,푸드엔(FOOD N),health
217,에스알씨(SRC),fun
218,브이티브이(VTV),music
219,Law TV,information
220,비즈니스앤(Business&),information
221,애니박스(ANIBOX),animation
222,부동산경제TV,information
223,아이채널,education
224,비타민티비,health
225,스타무비(Star Movie),movie
226,이북오도티브이(이북오도TV),culture
227,STB 상생방송,religion
228,스페이스툰(Spacetoon),animation
229,챔프(Champ),animation
230,티비에스 티브이(tbs TV),information
231,J Golf,sports
232,브레인TV,fun
233,CRTV,information
234,애니플러스(ANIPLUS),animation
235,채널 M,movie
236,럭셔리TV(LUXURY-TV),information
237,LIFE TV(라이프 티브이),information
238,웰빙TV(Well-being Tv),health
239,LIFE다큐(라이프다큐),culture
240,KTV 국민방송 (Korea TV),culture
241,허니TV,movie
242,CMC가족오락TV,fun
243,육아방송(Korea Childcare Broadcasting),education
244,VillageTV,information
245,학원TV,education
246,텔레노벨라(Telenovela),drama
247,CTN,culture
248,KIDS-TV,education
249,POP-TV,music
250,AsiaN,drama
251,I.NET,fun
252,평화방송TV(케이블TV)/SKY-평화(위성방송),religion
253,haoTV,culture
254,cinemaTV,movie
255,생활건강TV,health
256,이벤트TV,information
257,불교TV,religion
258,한국경제TV,information
259,EBS플러스2중학/직업,education
260,EBS플러스1수능전문,education
261,육아TV,education
262,여행레저TV,culture
263,GTV,woman
264,BCN,movie
265,게임티브이(GameTV),fun
266,애니원(AniOne),animation
267,ABS농어민방송,culture
268,OSB드라마,drama
269,한국바둑방송 (K-BadukTV),culture
270,obc드림TV,information
271,KCN무협채널,movie
272,메디컬 TV(MEDICAL TV),health
273,예술TV Arte(예술티비 아르떼),culture
274,MTN(MoneyToday Network),information
